Match,Server Name,Receiver Name,Server hand,Receiver hand,Date,Tournament,Best of,Court,Surface,Max_Count,Count 4,Won 4,Prob Won 4,Count 5,Won 5,Prob Won 5,Count 6,Won 6,Prob Won 6
19750101-M-Australian_Open-F-Jimmy_Connors-John_Newcombe,Jimmy Connors,John Newcombe,L,R,19750101,Australian Open,5,Deuce,Grass,6,13,10,0.769230769,17,6,0.352941176,38,25,0.657894737
19750907-M-US_Open-F-Manuel_Orantes-Jimmy_Connors,Manuel Orantes,Jimmy Connors,L,L,19750907,US Open,5,Deuce,Clay,4,25,10,0.4,,,,19,11,0.578947368
19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,Bjorn Borg,Jiri Hrebec,R,R,19751219,Davis Cup World Group F,3,Deuce,Hard,4,20,16,0.8,5,4,0.8,10,4,0.4
19760611-M-Roland_Garros-QF-Raul_Ramirez-Balazs_Taroczy,Raul Ramirez,Balazs Taroczy,R,R,19760611,Roland Garros,5,Deuce,Clay,6,35,24,0.685714286,3,2,0.666666667,48,29,0.604166667
19770109-M-Australian_Open-F-Roscoe_Tanner-Guillermo_Vilas,Roscoe Tanner,Guillermo Vilas,L,L,19770109,Australian Open,5,Deuce,Grass,6,20,14,0.7,2,2,1,20,14,0.7
19770911-M-US_Open-F-Guillermo_Vilas-Jimmy_Connors,Guillermo Vilas,Jimmy Connors,L,L,19770911,US Open,5,Deuce,Clay,6,13,6,0.461538462,3,0,0,43,27,0.627906977
19780108-M-Tour_Finals-F-Bjorn_Borg-Jimmy_Connors,Bjorn Borg,Jimmy Connors,R,L,19780108,Tour Finals,3,Deuce,Carpet,4,30,17,0.566666667,,,,8,3,0.375
19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,Brian Gottfried,Bjorn Borg,R,R,19780125,Pepsi Grand Slam,3,Deuce,Clay,4,11,3,0.272727273,7,6,0.857142857,8,3,0.375
19780611-M-Roland_Garros-F-Bjorn_Borg-Guillermo_Vilas,Bjorn Borg,Guillermo Vilas,R,L,19780611,Roland Garros,5,Deuce,Clay,4,24,17,0.708333333,2,2,1,9,6,0.666666667
19790107-M-Australian_Open-F-John_Marks-Guillermo_Vilas,John Marks,Guillermo Vilas,R,L,19790107,Australian Open,5,Deuce,Grass,4,25,16,0.64,16,11,0.6875,24,15,0.625
